"task_type","item","subject","prob","metaprob","binary_outcome"
"Science","gr1","59",0.87,0.9,1
"Science","gr1","60",0.97,0.92,1
"Science","gr1","61",1,1,1
"Science","gr1","62",0.67,0.48,1
"Science","gr1","63",0.36,0.66,1
"Science","gr1","64",0.75,0.66,1
"Science","gr1","65",0.88,0.73,1
"Science","gr1","66",0.26,0.26,1
"Science","gr1","67",1,1,1
"Science","gr1","71",0.98,0.99,1
"Science","gr1","72",1,0.95,1
"Science","gr1","73",0.51,0.51,1
"Science","gr1","75",0.82,0.73,1
"Science","gr1","76",0.99,0.9,1
"Science","gr1","77",0.96,0.93,1
"Science","gr1","78",0.79,0.9,1
"Science","gr1","79",0.83,0.63,1
"Science","gr1","80",0.91,0.93,1
"Science","gr1","81",1,0.92,1
"Science","gr1","83",0.83,0.92,1
"Science","gr1","84",0,0.71,1
"Science","gr1","85",0.6,0.4,1
"Science","gr1","86",0.72,0.84,1
"Science","gr1","87",0.81,0.81,1
"Science","gr1","88",0.96,0.87,1
"Science","gr1","89",0.1,0.1,1
"Science","gr1","90",1,1,1
"Science","gr10","1",0.5,0.5,1
"Science","gr10","2",0.54,0.35,1
"Science","gr10","3",0.5,0.5,1
"Science","gr10","4",0.95,0.88,1
"Science","gr10","5",0.8,0.8,1
"Science","gr10","6",0.46,0.46,1
"Science","gr10","7",0.5,0.37,1
"Science","gr10","8",0.5,0.51,1
"Science","gr10","10",0.51,0.51,1
"Science","gr10","13",0.49,0.49,1
"Science","gr10","14",0.77,0.81,1
"Science","gr10","15",0.67,0.6,1
"Science","gr10","16",0.46,0.45,1
"Science","gr10","17",0.51,0.8,1
"Science","gr10","18",0.43,0.66,1
"Science","gr10","19",0.45,0.45,1
"Science","gr10","20",0.96,1,1
"Science","gr10","21",0.75,0.67,1
"Science","gr10","22",0.5,0.3,1
"Science","gr10","24",0.99,0.89,1
"Science","gr10","25",0.51,0.51,1
"Science","gr10","26",0.5,0.55,1
"Science","gr10","27",0.46,0.26,1
"Science","gr10","29",0.68,0.36,1
"Science","gr10","30",0.6,0.5,1
"Science","gr10","31",0.51,0.51,1
"Science","gr10","33",0.51,0.58,1
"Science","gr10","34",0.5,0.72,1
"Science","gr10","35",0.75,0.5,1
"Science","gr10","36",0.46,0.51,1
"Science","gr10","37",0.86,0.96,1
"Science","gr10","38",0.3,0.55,1
"Science","gr10","39",0.99,1,1
"Science","gr10","40",0.45,0.4,1
"Science","gr10","41",0.88,0.85,1
"Science","gr10","42",0.5,0.5,1
"Science","gr10","44",0.46,0.55,1
"Science","gr10","45",0.8,0.32,1
"Science","gr10","46",0.51,0.51,1
"Science","gr10","47",0.89,0.95,1
"Science","gr10","48",0.33,0.29,1
"Science","gr10","50",0.6,0.48,1
"Science","gr10","51",0.46,0.46,1
"Science","gr10","54",0.71,0.51,1
"Science","gr10","55",0.91,0.91,1
"Science","gr10","56",0.81,0.96,1
"Science","gr10","57",0.96,0.68,1
"Science","gr10","58",0.5,0.35,1
"Science","gr10","61",0,0.57,1
"Science","gr10","62",0.78,0.78,1
"Science","gr10","63",0.7,0.59,1
"Science","gr10","64",0.87,0.74,1
"Science","gr10","65",0.78,0.91,1
"Science","gr10","66",0.61,0.62,1
"Science","gr10","69",0.5,0.6,1
"Science","gr10","70",0.67,0.75,1
"Science","gr10","72",0.64,0.7,1
"Science","gr10","73",0.19,0.5,1
"Science","gr10","75",0.75,0.73,1
"Science","gr10","76",0.6,0.76,1
"Science","gr10","78",0.91,0.85,1
"Science","gr10","81",0.21,0.29,1
"Science","gr10","82",0.73,0.82,1
"Science","gr10","83",0.98,0.9,1
"Science","gr10","84",0.58,0.39,1
"Science","gr10","85",0.5,0.3,1
"Science","gr10","87",0.51,0.51,1
"Science","gr10","88",0.87,0.8,1
"Science","gr10","89",0.5,0.5,1
"Science","gr100","1",1,0.7,0
"Science","gr100","2",0.1,0.3,0
"Science","gr100","3",0.93,0.92,0
"Science","gr100","4",0.85,0.89,0
"Science","gr100","5",0.71,1,0
"Science","gr100","6",0.91,0.85,0
"Science","gr100","7",1,0.78,0
"Science","gr100","8",0.08,0.28,0
"Science","gr100","9",0.19,0.16,0
"Science","gr100","10",0.96,0.98,0
"Science","gr100","11",0.92,0.66,0
"Science","gr100","12",0.13,0.82,0
"Science","gr100","13",0.06,0.24,0
"Science","gr100","14",0,0,0
"Science","gr100","15",0.87,0.85,0
"Science","gr100","16",0.59,0.6,0
"Science","gr100","17",0.51,0.78,0
"Science","gr100","18",0.57,0.64,0
"Science","gr100","19",0.35,0.5,0
"Science","gr100","21",0,0.59,0
"Science","gr100","22",0,0.39,0
"Science","gr100","23",0.95,0.76,0
"Science","gr100","24",0.63,0.79,0
"Science","gr100","25",1,0.75,0
"Science","gr100","26",0.81,0.75,0
"Science","gr100","27",0.85,0.94,0
"Science","gr100","28",0.69,0.86,0
"Science","gr100","29",0.68,0.69,0
"Science","gr100","30",0.05,0.4,0
"Science","gr100","31",0.92,0.85,0
"Science","gr100","32",0.99,1,0
"Science","gr100","33",0.96,1,0
"Science","gr100","34",0,0.92,0
"Science","gr100","35",0,0.25,0
"Science","gr100","36",0.98,0.88,0
"Science","gr100","37",1,1,0
"Science","gr100","38",0.6,0.32,0
"Science","gr100","39",0.95,0.96,0
"Science","gr100","40",0.7,0.75,0
"Science","gr100","41",0.74,0.83,0
"Science","gr100","42",0,0.35,0
"Science","gr100","43",0.24,0.4,0
"Science","gr100","44",0.07,0.94,0
"Science","gr100","46",0.83,0.82,0
"Science","gr100","47",0.97,0.86,0
"Science","gr100","48",0.78,0.8,0
"Science","gr100","49",0,0.11,0
"Science","gr100","50",1,0.83,0
"Science","gr100","51",0.09,0.1,0
"Science","gr100","52",0.79,0.78,0
"Science","gr100","53",0.82,0.73,0
"Science","gr100","54",0.68,0.58,0
"Science","gr100","55",0.95,0.96,0
"Science","gr100","56",0.82,0.9,0
"Science","gr100","57",0.2,0.25,0
"Science","gr100","58",1,0.8,0
"Science","gr100","59",0.97,0.99,0
"Science","gr100","60",0.8,0.91,0
"Science","gr100","61",0.91,0.92,0
"Science","gr100","62",0.25,0.21,0
"Science","gr100","63",0.13,0.13,0
"Science","gr100","64",0.9,0.78,0
"Science","gr100","65",0.19,0.04,0
"Science","gr100","66",0.86,0.87,0
"Science","gr100","68",1,0.89,0
"Science","gr100","69",0,0.04,0
"Science","gr100","70",0.66,0.74,0
"Science","gr100","71",0.06,0.98,0
"Science","gr100","72",0.98,0.94,0
"Science","gr100","73",0.67,0.39,0
"Science","gr100","75",0.71,0.74,0
"Science","gr100","76",0.15,0.33,0
"Science","gr100","79",0.67,0.75,0
"Science","gr100","80",0.98,0.98,0
"Science","gr100","81",0.99,0.98,0
"Science","gr100","82",0.3,0.2,0
"Science","gr100","84",0,0.22,0
"Science","gr100","85",0,0.5,0
"Science","gr100","86",0.65,0.79,0
"Science","gr100","87",0.95,0.92,0
"Science","gr100","88",0.25,0.11,0
"Science","gr100","89",0.5,0.5,0
"Science","gr100","90",0,0,0
"Science","gr101","91",0.17,0.77,1
"Science","gr101","92",0.97,0.82,1
"Science","gr101","93",0.75,0.8,1
"Science","gr101","94",1,0.91,1
"Science","gr101","95",0.91,0.94,1
"Science","gr101","96",1,0.81,1
"Science","gr101","97",1,0.7,1
"Science","gr101","98",0.2,0.75,1
"Science","gr101","99",0.82,0.91,1
"Science","gr101","100",1,1,1
"Science","gr101","102",0.13,0.15,1
"Science","gr101","104",0.66,0.77,1
"Science","gr101","105",0.81,0.87,1
"Science","gr101","106",0.98,0.95,1
"Science","gr101","107",0.85,0.75,1
"Science","gr101","108",1,0.92,1
"Science","gr101","109",0.95,0.96,1
"Science","gr101","110",1,0.75,1
"Science","gr101","112",0.93,0.99,1
"Science","gr101","113",0.96,0.97,1
"Science","gr101","114",0.59,0.63,1
"Science","gr101","115",1,0.75,1
"Science","gr101","116",1,0.9,1
"Science","gr101","117",0.85,0.83,1
"Science","gr101","123",0.86,0.85,1
"Science","gr101","124",0.77,0.9,1
"Science","gr101","125",1,0.89,1
"Science","gr101","126",0.99,0.99,1
"Science","gr101","127",0.86,0.77,1
"Science","gr101","128",0.53,0.38,1
"Science","gr101","129",0.95,0.96,1
"Science","gr101","130",0.95,0.97,1
"Science","gr101","131",1,0.88,1
"Science","gr101","132",0.85,0.9,1
"Science","gr101","133",0.95,0.89,1
"Science","gr101","134",0.28,0.29,1
"Science","gr101","135",0.83,0.84,1
"Science","gr101","136",1,0.51,1
"Science","gr101","137",0.91,0.61,1
"Science","gr101","138",0.9,0.85,1
"Science","gr101","139",0.92,0.76,1
"Science","gr101","140",1,0.79,1
"Science","gr101","141",0.88,0.8,1
"Science","gr101","142",0.77,0.9,1
"Science","gr101","143",0.7,0.83,1
"Science","gr101","144",0.74,0.75,1
"Science","gr101","145",1,1,1
"Science","gr101","146",0.93,0.99,1
"Science","gr101","148",0.7,0.7,1
"Science","gr101","149",1,0.94,1
"Science","gr101","150",0,0.01,1
"Science","gr101","151",0.78,0.72,1
"Science","gr101","152",0.15,0.17,1
"Science","gr101","153",0.87,0.85,1
"Science","gr101","154",1,0.77,1
"Science","gr101","155",0.83,0.83,1
"Science","gr101","156",0.94,0.97,1
"Science","gr101","157",0.86,0.78,1
"Science","gr101","158",0.6,0.5,1
"Science","gr101","159",1,1,1
"Science","gr101","160",0.59,0.72,1
"Science","gr101","161",0.37,0.32,1
"Science","gr101","162",0.74,0.8,1
"Science","gr101","163",0.55,0.58,1
"Science","gr101","164",0.96,0.63,1
"Science","gr101","165",0.87,0.86,1
"Science","gr101","166",0.41,0.52,1
"Science","gr101","167",0.85,0.69,1
"Science","gr101","168",0.94,0.82,1
"Science","gr101","169",0.92,0.92,1
"Science","gr101","170",0.66,0.56,1
"Science","gr101","171",1,0.9,1
"Science","gr101","172",1,0.74,1
"Science","gr101","173",0.83,0.77,1
"Science","gr101","174",0.73,0.76,1
"Science","gr101","175",0.8,0.7,1
"Science","gr101","176",0.7,0.5,1
"Science","gr101","177",0.6,0.89,1
"Science","gr101","178",0.8,0.75,1
"Science","gr101","179",0.82,0.73,1
"Science","gr102","91",0.86,0.72,1
"Science","gr102","92",0.91,0.92,1
"Science","gr102","93",0.62,0.69,1
"Science","gr102","94",0.9,0.55,1
"Science","gr102","95",0.9,0.92,1
"Science","gr102","96",1,0.97,1
"Science","gr102","97",1,0.9,1
"Science","gr102","98",0.85,0.81,1
"Science","gr102","99",0.82,0.91,1
"Science","gr102","100",1,0.87,1
"Science","gr102","101",0.8,0.67,1
"Science","gr102","102",0.73,0.78,1
"Science","gr102","104",0.87,0.81,1
"Science","gr102","105",0.94,0.95,1
"Science","gr102","106",0.85,0.98,1
"Science","gr102","107",0.85,0.67,1
"Science","gr102","108",0.8,0.82,1
"Science","gr102","110",0.8,0.6,1
"Science","gr102","112",0.87,0.96,1
"Science","gr102","113",0.91,0.95,1
"Science","gr102","115",1,0.9,1
"Science","gr102","116",0.8,0.7,1
"Science","gr102","117",0.8,0.74,1
"Science","gr102","121",0.74,0.66,1
"Science","gr102","122",0.79,0.96,1
"Science","gr102","123",0.94,0.91,1
"Science","gr102","124",0.65,0.69,1
"Science","gr102","125",0.81,0.95,1
"Science","gr102","127",0.84,0.87,1
"Science","gr102","128",0.43,0.63,1
"Science","gr102","129",0.93,0.92,1
"Science","gr102","130",0.93,0.94,1
"Science","gr102","131",0.91,0.76,1
"Science","gr102","132",1,0.8,1
"Science","gr102","134",0.71,0.71,1
"Science","gr102","135",0.31,0.42,1
"Science","gr102","136",1,0.61,1
"Science","gr102","137",0.92,0.61,1
"Science","gr102","138",0.83,0.9,1
"Science","gr102","139",0.87,0.94,1
"Science","gr102","140",1,1,1
"Science","gr102","141",0.74,0.87,1
"Science","gr102","143",0.65,0.81,1
"Science","gr102","144",0.28,0.25,1
"Science","gr102","146",1,0.97,1
"Science","gr102","148",0.85,0.61,1
"Science","gr102","149",1,0.88,1
"Science","gr102","150",0.78,0.89,1
"Science","gr102","152",0.98,0.91,1
"Science","gr102","153",0.7,0.77,1
"Science","gr102","154",0.8,0.6,1
"Science","gr102","155",0.8,0.77,1
"Science","gr102","156",0.92,0.97,1
"Science","gr102","157",0.83,0.78,1
"Science","gr102","158",1,0.75,1
"Science","gr102","159",0.41,0.62,1
"Science","gr102","160",0.81,0.8,1
"Science","gr102","161",0.74,0.77,1
"Science","gr102","162",0.74,0.74,1
"Science","gr102","163",0.66,0.61,1
"Science","gr102","164",0.62,0.51,1
"Science","gr102","165",0.74,0.82,1
"Science","gr102","166",0.86,0.61,1
"Science","gr102","167",0.83,0.64,1
"Science","gr102","168",0.87,0.92,1
"Science","gr102","171",0.75,0.7,1
"Science","gr102","172",0.86,0.62,1
"Science","gr102","173",0.31,0.23,1
"Science","gr102","174",1,0.94,1
"Science","gr102","175",0.8,0.7,1
"Science","gr102","176",0.8,0.75,1
"Science","gr102","177",0.73,0.92,1
"Science","gr102","178",0.8,0.7,1
"Science","gr102","179",0.76,0.66,1
"Science","gr103","91",0.98,0.96,1
"Science","gr103","92",0.9,0.95,1
"Science","gr103","94",0.75,0.85,1
"Science","gr103","95",0.93,0.92,1
"Science","gr103","96",1,1,1
"Science","gr103","97",0.99,0.91,1
"Science","gr103","98",0.14,0.62,1
"Science","gr103","99",0.86,0.72,1
"Science","gr103","100",0.8,0.8,1
"Science","gr103","101",0.58,0.72,1
"Science","gr103","104",0.99,0.99,1
"Science","gr103","105",0.25,0.28,1
"Science","gr103","106",0.97,0.99,1
"Science","gr103","107",0.87,0.62,1
"Science","gr103","109",0.93,0.96,1
"Science","gr103","110",0.95,0.85,1
"Science","gr103","111",0.64,0.63,1
"Science","gr103","113",0.96,0.96,1
"Science","gr103","115",1,1,1
"Science","gr103","116",1,1,1
"Science","gr103","117",0.56,0.54,1
"Science","gr103","118",0.93,1,1
"Science","gr103","121",0.8,0.77,1
"Science","gr103","122",0.83,0.96,1
"Science","gr103","123",1,0.98,1
"Science","gr103","124",0.67,0.68,1
"Science","gr103","125",0.88,0.97,1
"Science","gr103","126",0.26,0.32,1
"Science","gr103","127",0.83,0.85,1
"Science","gr103","128",0.57,0.53,1
"Science","gr103","129",0.9,0.91,1
"Science","gr103","130",0.96,0.93,1
"Science","gr103","131",0.8,0.97,1
"Science","gr103","132",1,0.9,1
"Science","gr103","133",0.86,0.99,1
"Science","gr103","134",0.33,0.32,1
"Science","gr103","135",0.9,0.84,1
"Science","gr103","136",1,1,1
"Science","gr103","137",0.82,0.7,1
"Science","gr103","138",0.83,0.77,1
"Science","gr103","140",1,0.78,1
"Science","gr103","141",0.82,0.72,1
"Science","gr103","142",0.76,0.84,1
"Science","gr103","144",0.91,0.85,1
"Science","gr103","146",0.9,1,1
"Science","gr103","148",1,0.9,1
"Science","gr103","149",1,0.96,1
"Science","gr103","150",0.56,0.51,1
"Science","gr103","151",0.85,0.76,1
"Science","gr103","152",0.51,0.51,1
"Science","gr103","153",0.73,0.79,1
"Science","gr103","154",0.36,0.76,1
"Science","gr103","155",0.99,0.91,1
"Science","gr103","156",0.98,0.97,1
"Science","gr103","157",0.85,0.83,1
"Science","gr103","158",1,0.9,1
"Science","gr103","160",0.96,0.94,1
"Science","gr103","161",0.88,0.9,1
"Science","gr103","162",0.69,0.89,1
"Science","gr103","163",0.6,0.64,1
"Science","gr103","164",0.68,0.51,1
"Science","gr103","165",0.81,0.88,1
"Science","gr103","166",0.81,0.81,1
"Science","gr103","167",0.8,0.69,1
"Science","gr103","168",0.83,0.79,1
"Science","gr103","169",0.94,0.91,1
"Science","gr103","170",0.48,0.46,1
"Science","gr103","171",0.85,0.89,1
"Science","gr103","172",1,0.76,1
"Science","gr103","173",0.9,0.35,1
"Science","gr103","174",1,1,1
"Science","gr103","175",0.6,0.7,1
"Science","gr103","176",0.5,0.5,1
"Science","gr103","177",0.73,0.89,1
"Science","gr103","178",1,0.99,1
"Science","gr103","179",0.77,0.72,1
"Science","gr104","91",0.99,0.43,1
"Science","gr104","92",0.93,0.98,1
"Science","gr104","93",0.69,0.7,1
"Science","gr104","94",0.75,0.5,1
"Science","gr104","95",0.91,0.98,1
"Science","gr104","96",1,0.92,1
"Science","gr104","98",0.71,0.62,1
"Science","gr104","99",0.86,0.78,1
"Science","gr104","100",1,0.96,1
"Science","gr104","101",0.64,0.75,1
"Science","gr104","102",0.06,0.73,1
"Science","gr104","104",0.8,0.8,1
"Science","gr104","105",0.87,0.91,1
"Science","gr104","108",1,1,1
"Science","gr104","109",0.96,0.96,1
"Science","gr104","110",0.6,0.5,1
"Science","gr104","112",0.96,0.95,1
"Science","gr104","113",0.94,0.97,1
"Science","gr104","114",0.4,0.58,1
"Science","gr104","115",0.8,0.75,1
"Science","gr104","116",0.5,0.5,1
"Science","gr104","117",0.51,0.51,1
"Science","gr104","119",1,0.95,1
"Science","gr104","122",0.85,0.94,1
"Science","gr104","123",1,0.95,1
"Science","gr104","124",0.75,0.81,1
"Science","gr104","125",0.98,0.92,1
"Science","gr104","126",0.96,0.97,1
"Science","gr104","127",0.87,0.84,1
"Science","gr104","128",0.79,0.79,1
"Science","gr104","129",0.92,0.91,1
"Science","gr104","130",0.96,0.93,1
"Science","gr104","131",0.51,0.76,1
"Science","gr104","132",1,0.5,1
"Science","gr104","133",0.94,1,1
"Science","gr104","134",0.27,0.28,1
"Science","gr104","135",0.98,0.9,1
"Science","gr104","136",1,0.66,1
"Science","gr104","137",0.39,0.61,1
"Science","gr104","138",0.34,0.29,1
"Science","gr104","139",0.92,0.82,1
"Science","gr104","140",0.77,0.74,1
"Science","gr104","141",0.85,0.79,1
"Science","gr104","143",0.68,0.77,1
"Science","gr104","144",0.92,0.9,1
"Science","gr104","145",1,1,1
"Science","gr104","146",1,0.95,1
"Science","gr104","147",0.51,0.59,1
"Science","gr104","148",0.45,0.24,1
"Science","gr104","149",0.91,0.81,1
"Science","gr104","150",1,0.75,1
"Science","gr104","151",0.86,0.76,1
"Science","gr104","152",0.88,0.86,1
"Science","gr104","153",1,1,1
"Science","gr104","154",0.6,0.6,1
"Science","gr104","155",1,0.97,1
"Science","gr104","156",0.93,0.93,1
"Science","gr104","158",0.5,0.5,1
"Science","gr104","159",1,1,1
"Science","gr104","160",0.82,0.67,1
"Science","gr104","161",0.78,0.81,1
"Science","gr104","162",0.25,0.41,1
"Science","gr104","163",0.67,0.66,1
"Science","gr104","164",1,0.52,1
"Science","gr104","165",0.88,1,1
"Science","gr104","166",0.78,0.73,1
"Science","gr104","167",0.91,0.94,1
"Science","gr104","168",0.9,0.85,1
"Science","gr104","169",0.89,0.93,1
"Science","gr104","170",0.83,0.66,1
"Science","gr104","171",1,0.77,1
"Science","gr104","172",0.82,0.68,1
"Science","gr104","173",0.73,0.91,1
"Science","gr104","174",0.72,0.79,1
"Science","gr104","175",0.8,0.6,1
"Science","gr104","176",0.5,0.5,1
"Science","gr104","177",0.9,0.82,1
"Science","gr104","178",0.5,0.6,1
"Science","gr104","179",0.71,0.71,1
"Science","gr105","92",0.23,0.36,0
"Science","gr105","94",0.05,0.37,0
"Science","gr105","95",0.93,0.95,0
"Science","gr105","96",0,0.37,0
"Science","gr105","98",0.66,0.7,0
"Science","gr105","99",0.91,0.73,0
"Science","gr105","100",0,0.05,0
"Science","gr105","101",0.83,0.67,0
"Science","gr105","102",1,1,0
"Science","gr105","104",0,0.3,0
"Science","gr105","105",0.91,0.93,0
"Science","gr105","107",0.73,0.78,0
"Science","gr105","108",1,0.87,0
"Science","gr105","110",0.8,0.75,0
"Science","gr105","111",0.46,0.62,0
"Science","gr105","112",0.97,0.95,0
"Science","gr105","115",0,0.3,0
"Science","gr105","116",0.9,0.8,0
"Science","gr105","117",0.4,0.51,0
"Science","gr105","119",1,1,0
"Science","gr105","120",0.27,0.75,0
"Science","gr105","121",0.74,0.73,0
"Science","gr105","123",0.93,0.97,0
"Science","gr105","124",0.73,0.78,0
"Science","gr105","125",0.89,1,0
"Science","gr105","126",0.96,0.99,0
"Science","gr105","127",0.91,0.89,0
"Science","gr105","128",0.74,0.65,0
"Science","gr105","129",0.92,0.95,0
"Science","gr105","130",0.97,0.94,0
"Science","gr105","132",0.9,0.6,0
"Science","gr105","134",0.06,0.05,0
"Science","gr105","135",0.98,0.86,0
"Science","gr105","136",1,0.78,0
"Science","gr105","137",0.95,0.73,0
"Science","gr105","138",0.79,0.87,0
"Science","gr105","139",0.91,0.83,0
"Science","gr105","140",0,0.22,0
"Science","gr105","144",0.92,0.92,0
"Science","gr105","145",1,1,0
"Science","gr105","148",0,0.1,0
"Science","gr105","149",0.08,0.17,0
"Science","gr105","150",1,0.74,0
"Science","gr105","151",0.73,0.79,0
"Science","gr105","152",0,0.01,0
"Science","gr105","154",1,0.72,0
"Science","gr105","155",1,1,0
"Science","gr105","156",0.95,0.95,0
"Science","gr105","157",0.7,0.74,0
"Science","gr105","158",0,1,0
"Science","gr105","159",0.23,0.32,0
"Science","gr105","160",0,0.32,0
"Science","gr105","161",0.8,0.86,0
"Science","gr105","162",0.85,0.81,0
"Science","gr105","163",0.83,0.71,0
"Science","gr105","164",0.96,0.95,0
"Science","gr105","165",0.85,0.7,0
"Science","gr105","166",0.66,0.79,0
"Science","gr105","168",0.93,0.77,0
"Science","gr105","169",0.88,0.93,0
"Science","gr105","170",0.63,0.64,0
"Science","gr105","171",0.94,0.68,0
"Science","gr105","172",0,0.68,0
"Science","gr105","174",1,1,0
"Science","gr105","175",0.6,0.8,0
"Science","gr105","176",1,0.9,0
"Science","gr105","178",0,0.05,0
"Science","gr105","179",0.25,0.34,0
"Science","gr106","91",0.14,0.24,1
"Science","gr106","92",0.8,0.8,1
"Science","gr106","94",0.97,0.99,1
"Science","gr106","95",0.95,0.96,1
"Science","gr106","96",1,0.9,1
"Science","gr106","97",0,0.67,1
"Science","gr106","98",0.88,0.66,1
"Science","gr106","99",0.92,0.85,1
"Science","gr106","100",1,1,1
"Science","gr106","101",0.65,0.82,1
"Science","gr106","102",1,1,1
"Science","gr106","103",0.81,0.82,1
"Science","gr106","104",0.65,0.71,1
"Science","gr106","105",0.92,0.93,1
"Science","gr106","106",0.98,0.91,1
"Science","gr106","107",0.69,0.77,1
"Science","gr106","108",0.82,0.72,1
"Science","gr106","110",1,1,1
"Science","gr106","113",0.94,0.98,1
"Science","gr106","114",0.44,0.59,1
"Science","gr106","115",1,1,1
"Science","gr106","116",1,1,1
"Science","gr106","117",0.46,0.51,1
"Science","gr106","119",0.59,0.59,1
"Science","gr106","120",0.88,0.74,1
"Science","gr106","121",0.72,0.69,1
"Science","gr106","122",0.85,0.97,1
"Science","gr106","123",0.95,1,1
"Science","gr106","124",0.89,0.88,1
"Science","gr106","125",1,0.93,1
"Science","gr106","127",0.8,0.93,1
"Science","gr106","128",0.85,0.76,1
"Science","gr106","129",0.92,0.96,1
"Science","gr106","131",0.51,0.83,1
"Science","gr106","132",1,0.7,1
"Science","gr106","133",0.95,0.99,1
"Science","gr106","134",0.72,0.72,1
"Science","gr106","135",0.99,0.87,1
"Science","gr106","136",1,1,1
"Science","gr106","137",0.2,0.51,1
"Science","gr106","138",0.27,0.21,1
"Science","gr106","139",0.9,0.98,1
"Science","gr106","140",1,1,1
"Science","gr106","141",0.76,0.7,1
"Science","gr106","142",0.79,0.91,1
"Science","gr106","143",0.9,0.7,1
"Science","gr106","144",0.9,0.85,1
"Science","gr106","145",1,1,1
"Science","gr106","146",0.99,0.94,1
"Science","gr106","147",0.51,0.66,1
"Science","gr106","148",1,1,1
"Science","gr106","149",1,1,1
"Science","gr106","150",1,0.81,1
"Science","gr106","151",0.74,0.84,1
"Science","gr106","152",0.87,0.83,1
"Science","gr106","153",0.99,1,1
"Science","gr106","154",0.33,0.68,1
"Science","gr106","155",0.94,0.85,1
"Science","gr106","156",0.96,0.99,1
"Science","gr106","157",0.74,0.79,1
"Science","gr106","158",1,1,1
"Science","gr106","159",0.79,0.83,1
"Science","gr106","160",0.56,0.37,1
"Science","gr106","161",1,1,1
"Science","gr106","162",0.78,0.94,1
"Science","gr106","163",0.19,0.69,1
"Science","gr106","164",0.1,0.54,1
"Science","gr106","165",0.92,0.85,1
"Science","gr106","166",1,1,1
"Science","gr106","167",0.84,0.87,1
"Science","gr106","168",0.92,0.87,1
"Science","gr106","170",0.66,0.73,1
"Science","gr106","171",0.88,0.89,1
"Science","gr106","172",1,0.84,1
"Science","gr106","173",0.22,0.31,1
"Science","gr106","174",1,1,1
"Science","gr106","175",0.8,0.6,1
"Science","gr106","176",0.75,0.71,1
"Science","gr106","177",0.89,0.76,1
"Science","gr106","178",1,0.99,1
"Science","gr106","179",0.25,0.4,1
"Science","gr107","91",0.51,0.2,0
"Science","gr107","92",0.91,0.83,0
"Science","gr107","94",0.9,0.77,0
"Science","gr107","95",0.97,0.93,0
"Science","gr107","96",0,0.36,0
"Science","gr107","97",0.5,0.86,0
"Science","gr107","98",0.7,0.61,0
"Science","gr107","99",0.87,0.79,0
"Science","gr107","100",0.19,0.15,0
"Science","gr107","101",0.64,0.75,0
"Science","gr107","102",0.61,0.54,0
"Science","gr107","103",0.81,0.7,0
"Science","gr107","104",0.81,0.71,0
"Science","gr107","105",0.36,0.33,0
"Science","gr107","106",0.89,1,0
"Science","gr107","107",0.89,0.81,0
"Science","gr107","108",0.89,0.72,0
"Science","gr107","109",0.94,0.96,0
"Science","gr107","110",0.8,0.7,0
"Science","gr107","111",0.62,0.4,0
"Science","gr107","112",0.95,0.93,0
"Science","gr107","113",0.96,1,0
"Science","gr107","115",0,0.29,0
"Science","gr107","116",0.5,0.5,0
"Science","gr107","117",0.51,0.52,0
"Science","gr107","119",0.89,0.74,0
"Science","gr107","122",0.98,0.85,0
