SubjectID,Condition,ConditionName,minutes,chosen,subCondition,weight,proportion,numShared,numPrivate,C1SharedSum,C1PrivateSum,theta1,C2SharedSum,C2PrivateSum,theta2,C3SharedSum,C3PrivateSum,theta3,C4SharedSum,C4PrivateSum,theta4,C5SharedSum,C5PrivateSum,theta5,C6SharedSum,C6PrivateSum,theta6,C7SharedSum,C7PrivateSum,theta7,C8SharedSum,C8PrivateSum,theta8,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,type,Quiz1,Quiz2,age,female,device,f1,g1,f2,g2,f3,g3,f4,g4,f5,g5,f6,g6,f7,g7,f8,g8
21,1,Symmetric,5.9,317,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,2,0.51963,8,2,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,7,4,3,2,8,5,6,1,S,5,2,43,0,1,91,88,58,67,50,44,83,88,33,44,75,67,99,99,25,33
22,1,Symmetric,24.63,317,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,2,0.51963,8,2,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,5,7,4,6,1,2,8,3,S,5,2,31,0,2,93,93,70,71,50,50,88,88,33,33,76,75,100,100,25,25
23,1,Symmetric,29.97,318,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,0,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,5,2,3,6,1,7,4,8,S,5,5,32,0,2,91,90,67,67,34,45,84,89,42,45,66,67,91,91,34,33
24,1,Symmetric,15.33,319,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,2,0.94236,3,1,0.37725,6,2,3,5,7,8,1,4,S,5,2,39,0,2,92,92,66,66,50,50,94,94,43,43,60,60,95,95,33,33
25,1,Symmetric,18.08,319,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,2,0.94236,3,1,0.37725,3,1,2,6,7,4,5,8,S,5,2,50,1,1,92,88,66,61,50,45,95,83,45,41,59,66,96,95,33,30
26,1,Symmetric,9.42,320,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,3,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,3,2,4,7,5,8,6,1,S,5,2,31,1,2,80,75,65,60,60,60,90,90,70,70,70,70,100,100,40,40
27,1,Symmetric,7.05,320,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,3,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,6,8,3,5,2,7,1,4,S,5,2,34,0,2,88,85,67,65,45,40,85,80,50,40,70,60,90,85,33,35
28,1,Symmetric,21.82,321,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,2,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,1,7,3,2,6,8,5,4,S,5,2,24,0,2,90,89,57,66,50,43,90,89,50,45,66,66,99,99,30,30
29,1,Symmetric,5.05,323,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,4,8,3,6,5,7,1,2,S,5,2,27,0,1,83,94,70,80,50,50,90,90,20,35,75,80,90,100,25,30
30,1,Symmetric,4.93,324,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,3,0.51963,8,3,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,7,1,8,4,5,3,6,2,S,5,2,24,0,2,90,92,56,63,63,46,90,90,55,40,68,68,95,95,26,34
31,1,Symmetric,14.23,324,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,3,0.51963,8,3,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,3,5,4,7,8,1,6,2,S,5,2,22,0,1,78,85,55,65,57,42,94,92,57,45,66,66,98,98,27,30
32,1,Symmetric,9.2,326,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,2,0.94236,3,1,0.37725,5,,6,3,4,,1,2,S,5,2,32,0,2,91,95,72,66,33,35,91,95,59,60,72,77,91,94,33,35
33,1,Symmetric,5.72,327,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,2,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,7,2,1,3,4,6,8,5,S,5,2,34,0,1,90,94,60,66,45,50,80,83,55,50,70,75,90,100,30,25
34,1,Symmetric,8.17,328,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,3,0.51963,8,3,0.88187,4,0,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,7,8,2,6,3,1,4,5,S,5,3,41,0,1,98,98,66,66,50,60,95,95,40,50,55,60,100,100,33,45
35,1,Symmetric,6.83,330,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,2,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,1,7,2,4,8,6,5,3,S,5,2,26,0,2,85,85,57,60,51,45,89,84,50,47,46,56,100,97,31,35
36,1,Symmetric,9.8,330,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,2,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,8,4,3,7,1,2,5,6,S,5,4,30,1,1,75,88,61,53,61,50,61,76,50,44,55,46,75,81,33,42
37,1,Symmetric,8.15,332,1,0.25,1,9,3,8,1,0.79804,6,2,0.51858,4,3,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,6,4,7,1,8,5,2,3,S,5,2,23,0,1,75,85,66,66,55,45,90,90,40,45,60,66,100,100,40,35
38,1,Symmetric,12.35,333,1,0.25,1,9,3,8,1,0.79804,6,3,0.51858,4,3,0.51963,8,3,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,5,3,8,7,2,1,6,S,5,2,59,0,1,77,75,75,73,50,46,96,94,50,50,76,75,100,97,30,33
39,1,Symmetric,7.62,334,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,3,2,8,5,1,7,6,4,S,5,2,36,1,2,96,92,50,50,50,53,94,94,41,44,67,70,100,100,33,36
40,1,Symmetric,10.35,334,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,6,3,7,2,1,8,5,S,5,2,31,1,2,89,90,50,50,50,50,86,87,43,43,65,66,100,98,29,30
41,1,Symmetric,12.4,335,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,3,2,6,7,4,5,1,8,S,5,2,58,1,2,94,89,66,60,50,50,94,80,45,45,66,66,100,95,25,33
42,1,Symmetric,8.2,336,1,0.25,1,9,3,8,1,0.79804,6,3,0.51858,4,2,0.51963,8,1,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,8,4,5,3,1,6,2,7,S,5,2,27,1,1,75,89,75,67,50,44,75,89,33,44,67,67,100,100,33,33
43,1,Symmetric,28.45,336,1,0.25,1,9,3,8,1,0.79804,6,3,0.51858,4,2,0.51963,8,1,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,3,8,4,5,1,2,7,6,S,5,2,28,1,2,75,89,67,67,50,45,75,89,30,44,67,67,100,100,33,33
44,1,Symmetric,6.85,337,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,1,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,4,1,5,3,6,7,8,2,S,5,2,31,0,1,85,91,50,71,40,46,85,70,41,46,73,82,100,100,40,60
45,1,Symmetric,7.3,337,1,0.25,1,9,3,8,2,0.79804,6,0,0.51858,4,1,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,5,2,8,3,4,1,7,6,S,5,2,29,0,1,80,75,50,50,40,45,90,96,40,45,66,70,95,99,40,45
46,1,Symmetric,8.57,339,1,0.25,1,9,3,8,1,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,6,1,4,8,7,5,2,3,S,5,2,25,1,1,80,85,53,62,44,46,90,86,37,49,72,70,97,100,46,30
47,1,Symmetric,8.07,339,1,0.25,1,9,3,8,1,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,6,1,5,7,2,3,4,8,S,5,2,30,1,2,72,80,60,65,30,52,90,80,30,42,75,54,96,80,40,25
48,1,Symmetric,6.7,340,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,5,2,1,8,3,6,7,S,5,2,19,1,2,64,60,63,52,56,47,74,70,33,36,74,71,88,84,24,21
49,1,Symmetric,11.68,341,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,8,7,6,3,4,2,5,1,S,5,2,29,0,1,100,92,36,65,100,45,92,92,100,45,72,72,100,100,36,25
50,1,Symmetric,8.57,342,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,3,0.51963,8,3,0.88187,4,1,0.25622,6,3,0.72375,9,2,0.94236,3,2,0.37725,8,3,4,1,7,6,2,5,S,5,2,59,1,2,92,95,80,75,70,45,90,75,55,45,75,70,95,95,55,35
51,1,Symmetric,6.68,342,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,3,0.51963,8,3,0.88187,4,1,0.25622,6,3,0.72375,9,2,0.94236,3,2,0.37725,6,8,2,5,4,7,1,3,S,5,2,29,0,1,95,90,65,70,65,45,95,90,40,45,75,65,80,95,40,30
52,1,Symmetric,15.3,343,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,5,6,1,3,2,8,7,4,S,5,5,35,0,2,99,98,65,64,50,50,95,95,45,60,75,75,100,100,33,35
53,1,Symmetric,10.15,344,1,0.25,1,9,3,8,1,0.79804,6,3,0.51858,4,3,0.51963,8,2,0.88187,4,0,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,3,2,7,8,5,6,1,4,S,5,2,22,0,1,75,72,75,75,55,52,85,92,31,32,77,75,98,99,37,36
54,1,Symmetric,7.45,344,1,0.25,1,9,3,8,1,0.79804,6,3,0.51858,4,3,0.51963,8,2,0.88187,4,0,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,7,3,8,6,2,4,5,1,S,5,2,29,1,2,75,90,75,75,55,44,85,90,25,25,70,75,100,100,40,35
55,1,Symmetric,7.2,346,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,2,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,,1,3,6,,2,5,S,5,2,28,0,1,79,82,67,62,45,40,78,82,22,32,63,57,96,90,32,28
56,1,Symmetric,5.95,346,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,2,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,2,3,4,7,5,1,6,8,S,5,2,35,0,1,82,80,71,70,41,43,88,88,33,35,69,66,95,95,35,34
57,1,Symmetric,7.02,347,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,1,4,7,8,6,3,2,5,S,5,2,38,0,2,80,90,75,75,50,43,70,90,39,25,75,66,90,100,44,33
58,1,Symmetric,10.82,347,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,3,4,2,7,5,1,6,8,S,5,2,50,0,1,81,82,62,62,40,40,88,86,31,34,72,72,95,98,32,42
59,1,Symmetric,8.58,348,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,4,2,8,3,5,1,6,7,S,5,3,25,1,2,83,80,65,60,50,47,83,80,41,50,66,60,100,87,25,31
60,1,Symmetric,31.42,348,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,5,3,6,4,7,1,2,8,S,5,2,40,1,2,72,76,48,63,54,58,66,71,69,65,62,57,72,54,52,37
61,1,Symmetric,9.12,350,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,3,0.51963,8,3,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,3,2,8,6,4,5,1,7,S,5,2,40,1,1,90,75,60,65,58,50,90,88,50,50,75,70,99,99,33,33
62,1,Symmetric,8.1,351,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,3,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,5,1,,6,3,4,2,,S,5,2,37,0,2,92,88,58,66,58,44,83,89,42,44,67,67,100,100,42,33
63,1,Symmetric,11.38,351,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,3,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,4,5,6,2,1,7,8,3,S,5,2,32,0,1,90,90,60,70,70,40,85,90,40,40,75,70,95,95,40,30
64,1,Symmetric,3.73,352,1,0.25,1,9,3,8,2,0.79804,6,3,0.51858,4,2,0.51963,8,2,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,8,6,7,5,4,2,3,1,S,5,2,28,1,2,86,82,86,85,68,87,75,75,42,45,25,25,100,100,37,42
65,1,Symmetric,6.95,353,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,1,0.51963,8,3,0.88187,4,2,0.25622,6,1,0.72375,9,3,0.94236,3,0,0.37725,1,3,6,4,5,2,8,7,S,5,2,23,0,2,90,80,50,65,50,50,90,80,50,50,50,66,100,100,25,33
66,1,Symmetric,3.63,353,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,1,0.51963,8,3,0.88187,4,2,0.25622,6,1,0.72375,9,3,0.94236,3,0,0.37725,3,4,8,1,7,5,6,2,S,5,2,23,0,2,91,81,26,32,44,40,94,88,50,43,36,38,97,95,21,28
67,1,Symmetric,13.28,355,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,1,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,3,1,8,7,6,2,5,S,5,5,33,0,1,85,90,65,75,45,45,75,90,50,45,70,65,99,99,30,30
68,1,Symmetric,8.3,355,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,1,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,7,1,6,4,2,3,5,8,S,5,2,21,0,2,85,95,75,64,45,48,75,89,50,44,75,66,100,100,25,33
69,1,Symmetric,4.23,356,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,2,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,4,2,1,5,7,3,8,6,S,5,5,24,0,2,96,82,75,60,50,42,95,67,52,50,58,50,100,99,32,24
70,1,Symmetric,7.25,357,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,5,3,2,6,8,4,1,7,S,5,2,35,0,2,70,71,60,52,65,44,75,70,45,50,70,61,71,60,40,55
71,1,Symmetric,8.62,358,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,4,5,8,3,6,1,2,7,S,5,3,33,0,2,100,94,85,70,65,45,100,95,40,61,80,65,100,100,61,40
72,1,Symmetric,12.45,358,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,,1,6,3,5,2,4,7,S,5,2,22,0,2,90,88,67,65,50,52,90,89,45,40,67,67,100,98,33,33
73,1,Symmetric,13.18,359,1,0.25,1,9,3,8,3,0.79804,6,0,0.51858,4,0,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,2,0.94236,3,0,0.37725,5,3,4,2,7,1,6,8,S,5,2,32,0,2,88,86,50,50,33,41,86,84,41,47,56,60,88,93,25,30
74,1,Symmetric,22.2,360,1,0.25,1,9,3,8,1,0.79804,6,2,0.51858,4,3,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,6,4,3,8,1,5,7,2,S,5,2,46,0,2,75,80,66,66,56,59,91,93,33,33,75,74,97,98,33,33
75,1,Symmetric,6.9,361,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,4,5,6,2,7,1,3,8,S,5,5,28,1,2,87,80,75,80,50,50,90,80,40,40,60,70,95,80,40,40
76,1,Symmetric,20.03,361,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,2,0.37725,3,6,5,2,1,8,7,4,S,5,2,59,0,1,89,93,54,46,47,58,94,96,43,40,40,34,98,97,50,45
77,1,Symmetric,19.42,362,1,0.25,1,9,3,8,1,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,1,0.25622,6,0,0.72375,9,2,0.94236,3,1,0.37725,6,5,8,3,4,2,7,1,S,5,2,30,1,2,75,80,59,60,33,34,91,90,41,41,50,55,92,93,35,35
78,1,Symmetric,9.17,363,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,3,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,2,6,3,8,7,5,1,4,S,5,2,27,1,2,86,91,59,67,57,40,86,90,45,41,75,67,99,98,25,33
79,1,Symmetric,16.07,363,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,3,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,8,3,2,1,4,7,5,6,S,5,2,54,0,2,83,85,60,63,60,50,83,85,40,43,66,66,95,93,25,33
80,1,Symmetric,15.12,364,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,5,3,6,1,7,2,8,4,S,5,2,64,0,3,86,84,56,59,30,31,90,89,38,34,65,64,100,98,30,26
81,1,Symmetric,8.95,365,1,0.25,1,9,3,8,2,0.79804,6,3,0.51858,4,1,0.51963,8,2,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,2,8,1,3,5,7,6,4,S,5,2,27,1,2,75,90,70,75,42,48,75,90,40,40,55,60,90,100,40,40
82,1,Symmetric,11.68,366,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,3,0.51963,8,2,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,1,5,4,6,3,7,8,2,S,5,5,45,1,2,92,93,67,67,58,58,83,83,50,50,75,75,100,100,25,25
83,1,Symmetric,6.98,366,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,3,0.51963,8,2,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,8,2,4,7,3,1,6,5,S,5,2,36,0,2,70,87,54,62,52,52,66,90,45,50,55,67,73,92,42,33
