StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,q_instr1_1,q_instr1_2,q_instr1_3,q_instr1_4,q_instr1_5,1_q_plain_1,1_q_plain_2,1_q_plain_3,1_q_plain_4,1_q_plain_5,2_q_plain_1,2_q_plain_2,2_q_plain_3,2_q_plain_4,2_q_plain_5,3_q_plain_1,3_q_plain_2,3_q_plain_3,3_q_plain_4,3_q_plain_5,4_q_plain_1,4_q_plain_2,4_q_plain_3,4_q_plain_4,4_q_plain_5,5_q_plain_1,5_q_plain_2,5_q_plain_3,5_q_plain_4,5_q_plain_5,6_q_plain_1,6_q_plain_2,6_q_plain_3,6_q_plain_4,6_q_plain_5,7_q_plain_1,7_q_plain_2,7_q_plain_3,7_q_plain_4,7_q_plain_5,8_q_plain_1,8_q_plain_2,8_q_plain_3,8_q_plain_4,8_q_plain_5,9_q_plain_1,9_q_plain_2,9_q_plain_3,9_q_plain_4,9_q_plain_5,age,gender,educ,clarity,comment,RandNumbers,States,Responses,ProbNums,Permutation,TreatBlock,PROLIFIC_PID,exp_cond,instr_link
2020-10-19 11:27:01,2020-10-19 11:30:40,0,82.6.150.73,100,219,1,2020-10-19 11:30:40,R_sCkfoc658AxymJP,,,,,51.737701416015625,-1.2053985595703125,anonymous,EN,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,1,,,,,,,,5ea1a229465d80069655f154,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:27:55,2020-10-19 11:30:54,0,79.67.24.132,100,179,1,2020-10-19 11:30:55,R_2AEYVhGsV43fsZ5,,,,,57.2111053466796875,-2.203704833984375,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5d5092a4f19f050001aa026a,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:28:44,2020-10-19 11:31:36,0,92.237.175.183,100,171,1,2020-10-19 11:31:36,R_8cw2mGowmlYkwc9,,,,,50.3780975341796875,-4.17529296875,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5,2,3,1,,,,,,,,5ced1fa61a1bab00019da38b,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:29:33,2020-10-19 11:31:58,0,109.155.121.37,100,144,1,2020-10-19 11:31:58,R_3D5rxUUwkGH8W9a,,,,,52.6493988037109375,-1.12030029296875,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,1,,,,,,,,5efc3f7cb75578000be8df36,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:29:36,2020-10-19 11:32:50,0,185.25.58.116,100,194,1,2020-10-19 11:32:50,R_3m926xfBtYpbB1e,,,,,51.818603515625,1.1320037841796875,anonymous,EN,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5c76d0c99f29bd0017348bad,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:30:47,2020-10-19 11:33:19,0,213.205.200.107,100,151,1,2020-10-19 11:33:20,R_3lrUV8FSXZ6wgwX,,,,,51.550506591796875,0.0182952880859375,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,1,6,1,,,,,,,,5edcc35d9e6b4a994c3458a7,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:28:36,2020-10-19 11:35:12,0,109.147.77.233,100,396,1,2020-10-19 11:35:13,R_3NvQ7pcrbwcqD3c,,,,,51.2790069580078125,1.0762939453125,anonymous,EN,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,4,1,,,,,,,,5ca627e7fd1c600001886b81,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:31:37,2020-10-19 11:35:13,0,88.111.9.84,100,215,1,2020-10-19 11:35:14,R_5nxC3cs0D5NXUlz,,,,,53.240203857421875,-2.9087982177734375,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,Would be very interesting to be able to see results if possible - wondering the difference in age group/resposnes. I am on the  border of Wales so it is being taken quite seriously here with a possible new lockdown in Wales today,,,,,,,5aa43fc1dbdb470001ef45ec,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:32:38,2020-10-19 11:35:14,0,94.0.208.63,100,156,1,2020-10-19 11:35:15,R_3HHLqADElcUFC7m,,,,,51.514495849609375,0.0706024169921875,anonymous,EN,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5b706b7760d30c000176abf5,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:31:51,2020-10-19 11:35:22,0,51.6.213.64,100,211,1,2020-10-19 11:35:23,R_VIPRGe3Kc0OTbsl,,,,,50.7321014404296875,-3.529998779296875,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,7,1,,,,,,,,5f061c45dbe676138c827a49,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:31:17,2020-10-19 11:35:29,0,148.252.133.111,100,251,1,2020-10-19 11:35:29,R_PtHthNNlHFBvaZb,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,5,2,,,,,,,,5b0abc9ce9270900013b950d,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:32:48,2020-10-19 11:35:49,0,5.68.218.122,100,180,1,2020-10-19 11:35:49,R_2X70uTl5nfpPnb2,,,,,52.4391021728515625,-1.50390625,anonymous,EN,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,5,,,,,,,,5c2d172ce26399000179a138,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:33:55,2020-10-19 11:36:09,0,213.205.194.253,100,133,1,2020-10-19 11:36:09,R_bveI1HDnxK6XXNv,,,,,51.3488006591796875,-0.0321044921875,anonymous,EN,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,5,2,3,3,,,,,,,,5e4250d9fb96eb0def6db974,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:32:24,2020-10-19 11:37:08,0,82.9.94.39,100,283,1,2020-10-19 11:37:09,R_24MEgxvWsnFefM2,,,,,51.4799957275390625,-3.17999267578125,anonymous,EN,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,,,,,,,,5d56bbc4e2a7330001ed2fcf,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:32:20,2020-10-19 11:37:10,0,86.134.108.241,100,290,1,2020-10-19 11:37:10,R_245xO7TA5frpTZA,,,,,54.7698974609375,-1.5590057373046875,anonymous,EN,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,5eaf0cbc48b26f5e7d7c574f,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:28:10,2020-10-19 11:39:21,0,90.253.227.201,100,670,1,2020-10-19 11:39:21,R_4IKRub8BBGB24Uh,,,,,55.72900390625,-4.60150146484375,anonymous,EN,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,1,,,,,,,,5f2b327828fa8b555f54f3cf,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 12:15:13,2020-10-19 12:19:27,0,82.11.180.147,100,253,1,2020-10-19 12:19:27,R_db38NPaAmHpuHJv,,,,,51.3939971923828125,-2.32269287109375,anonymous,EN,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,,,,,,,,5d3cb6625ca28800166c8ffc,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:53:22,2020-10-19 14:55:24,0,2.122.112.130,100,121,1,2020-10-19 14:55:24,R_3QSEXcA9Q89929N,,,,,51.4897003173828125,-0.10650634765625,anonymous,EN,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,,,,,,,,5f316eef21591a012b2f07a9,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:53:50,2020-10-19 14:55:40,0,86.28.197.145,100,110,1,2020-10-19 14:55:40,R_1odR7ARzVjklTQl,,,,,53.4141998291015625,-2.227996826171875,anonymous,EN,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,,,,,,,,5f74db5d6e5d2c1152228f52,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:54:02,2020-10-19 14:56:02,0,81.156.78.83,100,120,1,2020-10-19 14:56:03,R_vfvrSL1MIosytyh,,,,,51.52679443359375,-0.1869964599609375,anonymous,EN,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,,,,,,,,5ec3e7e479409d276787c139,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:54:10,2020-10-19 14:56:19,0,151.228.58.248,100,128,1,2020-10-19 14:56:19,R_3Ep91SZTMeRJlb5,,,,,52.95379638671875,-1.1571044921875,anonymous,EN,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,I went to a funeral,,,,,,,5f5d3a0514f72258dedea6dc,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:53:43,2020-10-19 14:56:20,0,86.3.209.144,100,157,1,2020-10-19 14:56:20,R_WkEMGUMmRzxvTeV,,,,,51.4799957275390625,-3.17999267578125,anonymous,EN,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,3,1,5,2,,,,,,,,5823405287f6b90001f14290,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:54:28,2020-10-19 14:56:29,0,82.37.101.48,100,121,1,2020-10-19 14:56:30,R_UJTDzjGZawfABW1,,,,,51.4622955322265625,-2.550201416015625,anonymous,EN,,,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5eb31b5a9d6676100566f6ce,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:54:02,2020-10-19 14:56:30,0,86.8.240.58,100,148,1,2020-10-19 14:56:31,R_vf9GgtDnvIKw27n,,,,,51.3939971923828125,-2.32269287109375,anonymous,EN,,,,,,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5eedd323bd4b2f20c754a496,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 14:55:01,2020-10-19 14:56:33,0,213.205.196.147,100,91,1,2020-10-19 14:56:33,R_6olejfrqUpP9nKF,,,,,53.4557952880859375,-1.3755950927734375,anonymous,EN,,,,,,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,,,,,,,,5e3d857264d5e6000dd34f3e,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
